City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
334,Rjukan,10,NO,1589964359,37,59.88,8.59,284.15,1.0
335,Chokurdakh,62,RU,1589964360,98,70.63,147.92,271.29,3.28
336,Bukama,5,CD,1589964361,37,-9.2,25.85,304.65,0.61
337,Nyurba,86,RU,1589964362,28,63.28,118.33,292.25,3.9
338,Azángaro,64,PE,1589964363,84,-14.92,-70.22,275.04,1.1
339,Henties Bay,0,NA,1589964365,21,-22.12,14.28,302.52,11.01
340,Wanning,100,CN,1589964366,70,18.8,110.4,304.21,6.7
341,Florø,20,NO,1589964367,61,61.6,5.03,282.15,3.1
342,Longyearbyen,75,SJ,1589964115,80,78.22,15.64,274.15,3.1
343,Junín,100,AR,1589964369,89,-34.58,-60.94,288.15,1.34
344,Dunedin,97,NZ,1589964311,88,-45.87,170.5,282.59,2.71
345,Mgandu,91,TZ,1589964371,61,-5.95,34.13,296.13,4.51
346,Chara,66,RU,1589964372,52,56.91,118.26,285.52,3.29
347,Batticaloa,100,LK,1589964373,59,7.71,81.69,305.55,2.92
348,Katherine,97,AU,1589964375,35,-14.47,132.27,305.15,4.1
349,Great Yarmouth,17,GB,1589964376,68,52.61,1.73,293.15,2.6
350,Banda Aceh,99,ID,1589964377,74,5.56,95.32,300.82,6.26
351,Port Hardy,96,CA,1589964378,84,50.7,-127.42,283.87,1.6
352,Kirovo-Chepetsk,100,RU,1589964355,65,58.55,50.04,288.76,1.51
353,Saint-François,3,FR,1589964380,52,46.42,3.91,297.04,1.5
354,Isangel,3,VU,1589964381,76,-19.55,169.27,294.23,4.88
355,Warrington,47,GB,1589964106,82,53.39,-2.58,291.48,2.1
356,Codrington,100,AU,1589964169,87,-38.27,141.97,282.52,8.19
357,Del Rio,1,US,1589964385,51,29.36,-100.9,301.15,4.6
358,Port Shepstone,0,ZA,1589964386,57,-30.74,30.45,294.82,1.16
359,Mount Gambier,90,AU,1589964387,93,-37.83,140.77,282.15,2.6
360,Teeli,5,RU,1589964388,26,51.03,90.23,297.16,2.28
361,Coahuayana Viejo,0,MX,1589964310,62,18.73,-103.68,294.98,1.19
362,Upernavik,64,GL,1589964390,97,72.79,-56.15,272.16,3.62
363,Hualmay,75,PE,1589964392,84,-11.1,-77.61,290.48,3.17
364,Senneterre,1,CA,1589964184,60,48.38,-77.23,279.15,3.1
365,Malakal,1,SS,1589964395,31,9.53,31.66,310.64,1.5
366,Aasiaat,0,GL,1589964396,95,68.71,-52.87,273.23,3.06
367,Russell,40,US,1589964341,93,32.35,-85.2,292.15,1.52
368,Hua Hin,20,TH,1589964399,70,12.57,99.96,306.15,8.2
369,Praia,40,CV,1589964400,68,14.92,-23.51,295.15,8.2
